File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/499.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	2 mL Std
Injection Number	2
Position	2
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Calibration Standard
Status	Finished
Injection Date	11/1/2016
Injection Time	9:31:34 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.103452
Signal Max.	17.491462
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.039000	0.010	-0.043480
0.039167	0.010	-0.024446
0.039333	0.010	-0.033556
0.039500	0.010	-0.041435
0.039667	0.010	-0.069325
0.039833	0.010	-0.023292
0.040000	0.010	-0.037688
0.040167	0.010	-0.034497
0.040333	0.010	-0.050847
0.040500	0.010	-0.034555
0.040667	0.010	-0.051095
0.040833	0.010	-0.049682
0.041000	0.010	-0.045504
0.041167	0.010	-0.045737
0.041333	0.010	-0.018564
0.041500	0.010	-0.052745
0.041667	0.010	-0.021565
0.041833	0.010	-0.049816
0.042000	0.010	-0.045429
0.042167	0.010	-0.058361
0.042333	0.010	-0.023292
0.042500	0.010	-0.010149
0.042667	0.010	-0.005461
0.042833	0.010	0.005222
0.043000	0.010	-0.031268
0.043167	0.010	-0.042981
0.043333	0.010	-0.052841
0.043500	0.010	-0.060646
0.043667	0.010	-0.055393
0.043833	0.010	-0.040277
0.044000	0.010	-0.038296
0.044167	0.010	-0.059538
0.044333	0.010	-0.039804
0.044500	0.010	-0.019151
0.044667	0.010	-0.045871
0.044833	0.010	-0.009351
0.045000	0.010	-0.041612
0.045167	0.010	-0.011557
0.045333	0.010	-0.024165
0.045500	0.010	0.013226
0.045667	0.010	-0.025160
0.045833	0.010	-0.030657
0.046000	0.010	-0.017849
0.046167	0.010	-0.039423
0.046333	0.010	-0.012749
0.046500	0.010	-0.007349
0.046667	0.010	-0.044797
0.046833	0.010	-0.058933
0.047000	0.010	-0.050012
0.047167	0.010	-0.062804
0.047333	0.010	-0.023308
0.047500	0.010	-0.069869
0.047667	0.010	-0.085292
0.047833	0.010	-0.064722
0.048000	0.010	-0.048343
0.048167	0.010	-0.056953
0.048333	0.010	-0.025979
0.048500	0.010	-0.030925
0.048667	0.010	-0.038021
0.048833	0.010	-0.020424
0.049000	0.010	-0.051638
0.049167	0.010	-0.046262
0.049333	0.010	-0.028732
0.049500	0.010	-0.022315
0.049667	0.010	-0.022780
0.049833	0.010	-0.036574
0.050000	0.010	-0.045021
0.050167	0.010	-0.005241
0.050333	0.010	-0.044104
0.050500	0.010	-0.038713
0.050667	0.010	-0.021306
0.050833	0.010	-0.029607
0.051000	0.010	-0.032768
0.051167	0.010	-0.023626
0.051333	0.010	-0.018092
0.051500	0.010	-0.024509
0.051667	0.010	-0.025693
0.051833	0.010	-0.012974
0.052000	0.010	-0.021797
0.052167	0.010	0.000397
0.052333	0.010	-0.011127
0.052500	0.010	-0.045146
0.052667	0.010	-0.046875
0.052833	0.010	-0.028240
0.053000	0.010	-0.035427
0.053167	0.010	-0.045636
0.053333	0.010	-0.003726
0.053500	0.010	-0.021121
0.053667	0.010	-0.035542
0.053833	0.010	-0.073716
0.054000	0.010	-0.049219
0.054167	0.010	-0.036614
0.054333	0.010	-0.032293
0.054500	0.010	-0.048418
0.054667	0.010	-0.022225
0.054833	0.010	-0.015834
0.055000	0.010	-0.038636
0.055167	0.010	-0.025506
0.055333	0.010	-0.033703
0.055500	0.010	-0.021758
0.055667	0.010	-0.036308
0.055833	0.010	-0.066517
0.056000	0.010	-0.028176
0.056167	0.010	-0.016727
0.056333	0.010	-0.021287
0.056500	0.010	0.013410
0.056667	0.010	-0.010597
0.056833	0.010	0.014086
0.057000	0.010	-0.015827
0.057167	0.010	-0.036137
0.057333	0.010	-0.038726
0.057500	0.010	-0.045823
0.057667	0.010	-0.054165
0.057833	0.010	-0.065544
0.058000	0.010	-0.020397
0.058167	0.010	-0.022439
0.058333	0.010	-0.018334
0.058500	0.010	-0.037316
0.058667	0.010	-0.059959
0.058833	0.010	-0.058882
0.059000	0.010	-0.013496
0.059167	0.010	-0.023447
0.059333	0.010	-0.034058
0.059500	0.010	-0.050701
0.059667	0.010	-0.023040
0.059833	0.010	-0.039228
0.060000	0.010	-0.042118
0.060167	0.010	-0.043732
0.060333	0.010	-0.038551
0.060500	0.010	-0.036433
0.060667	0.010	-0.047008
0.060833	0.010	-0.042112
0.061000	0.010	-0.008925
0.061167	0.010	-0.016739
0.061333	0.010	-0.003516
0.061500	0.010	-0.006142
0.061667	0.010	-0.008490
0.061833	0.010	-0.013252
0.062000	0.010	-0.029805
0.062167	0.010	-0.062755
0.062333	0.010	-0.039376
0.062500	0.010	-0.027162
0.062667	0.010	-0.012008
0.062833	0.010	-0.023292
0.063000	0.010	-0.035104
0.063167	0.010	-0.037386
0.063333	0.010	-0.054954
0.063500	0.010	-0.043428
0.063667	0.010	-0.012973
0.063833	0.010	-0.008426
0.064000	0.010	-0.044864
0.064167	0.010	-0.048979
0.064333	0.010	-0.041186
0.064500	0.010	-0.042167
0.064667	0.010	-0.036710
0.064833	0.010	-0.047620
0.065000	0.010	-0.012254
0.065167	0.010	-0.019791
0.065333	0.010	-0.035009
0.065500	0.010	-0.052050
0.065667	0.010	-0.048537
0.065833	0.010	-0.022144
0.066000	0.010	-0.039863
0.066167	0.010	-0.042438
0.066333	0.010	-0.022969
0.066500	0.010	-0.005686
0.066667	0.010	-0.027408
0.066833	0.010	-0.054093
0.067000	0.010	-0.038284
0.067167	0.010	-0.049106
0.067333	0.010	-0.030992
0.067500	0.010	-0.044957
0.067667	0.010	-0.076248
0.067833	0.010	-0.034636
0.068000	0.010	-0.018820
0.068167	0.010	-0.043543
0.068333	0.010	-0.021579
0.068500	0.010	0.004056
0.068667	0.010	0.002716
0.068833	0.010	0.006456
0.069000	0.010	-0.021107
0.069167	0.010	0.006396
0.069333	0.010	-0.007408
0.069500	0.010	-0.022007
0.069667	0.010	-0.025811
0.069833	0.010	-0.014542
0.070000	0.010	-0.047032
0.070167	0.010	-0.026217
0.070333	0.010	-0.030939
0.070500	0.010	-0.028802
0.070667	0.010	-0.009782
0.070833	0.010	-0.007355
0.071000	0.010	-0.037180
0.071167	0.010	-0.061059
0.071333	0.010	-0.031732
0.071500	0.010	-0.030929
0.071667	0.010	-0.035394
0.071833	0.010	-0.050926
0.072000	0.010	-0.043194
0.072167	0.010	-0.023032
0.072333	0.010	0.010199
0.072500	0.010	-0.022020
0.072667	0.010	-0.024478
0.072833	0.010	-0.034373
0.073000	0.010	-0.044600
0.073167	0.010	-0.028635
0.073333	0.010	-0.049013
0.073500	0.010	-0.025782
0.073667	0.010	-0.019344
0.073833	0.010	-0.025412
0.074000	0.010	-0.033130
0.074167	0.010	-0.004263
0.074333	0.010	-0.028974
0.074500	0.010	-0.015247
0.074667	0.010	-0.004915
0.074833	0.010	-0.003812
0.075000	0.010	-0.012956
0.075167	0.010	-0.008065
0.075333	0.010	-0.027018
0.075500	0.010	-0.041181
0.075667	0.010	-0.021670
0.075833	0.010	-0.012117
0.076000	0.010	-0.029223
0.076167	0.010	-0.019545
0.076333	0.010	-0.032273
