File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/741.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Spike-run2
Injection Number	8
Position	9
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Spiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:34:22 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.504593
Signal Max.	93.160667
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.057333	0.010	-1.246214
0.057500	0.010	-1.243142
0.057667	0.010	-1.244549
0.057833	0.010	-1.226974
0.058000	0.010	-1.238567
0.058167	0.010	-1.251982
0.058333	0.010	-1.240630
0.058500	0.010	-1.229789
0.058667	0.010	-1.253069
0.058833	0.010	-1.243767
0.059000	0.010	-1.264972
0.059167	0.010	-1.264805
0.059333	0.010	-1.229909
0.059500	0.010	-1.233391
0.059667	0.010	-1.252740
0.059833	0.010	-1.225204
0.060000	0.010	-1.225401
0.060167	0.010	-1.227956
0.060333	0.010	-1.237444
0.060500	0.010	-1.216241
0.060667	0.010	-1.234401
0.060833	0.010	-1.236465
0.061000	0.010	-1.215893
0.061167	0.010	-1.225562
0.061333	0.010	-1.239302
0.061500	0.010	-1.224460
0.061667	0.010	-1.254921
0.061833	0.010	-1.239398
0.062000	0.010	-1.254081
0.062167	0.010	-1.257837
0.062333	0.010	-1.253211
0.062500	0.010	-1.230855
0.062667	0.010	-1.220056
0.062833	0.010	-1.236870
0.063000	0.010	-1.235067
0.063167	0.010	-1.209995
0.063333	0.010	-1.212884
0.063500	0.010	-1.241475
0.063667	0.010	-1.236991
0.063833	0.010	-1.236313
0.064000	0.010	-1.261234
0.064167	0.010	-1.256620
0.064333	0.010	-1.284420
0.064500	0.010	-1.241175
0.064667	0.010	-1.239409
0.064833	0.010	-1.231341
0.065000	0.010	-1.218301
0.065167	0.010	-1.242941
0.065333	0.010	-1.220057
0.065500	0.010	-1.243323
0.065667	0.010	-1.247137
0.065833	0.010	-1.223851
0.066000	0.010	-1.229565
0.066167	0.010	-1.205094
0.066333	0.010	-1.249980
0.066500	0.010	-1.251574
0.066667	0.010	-1.247980
0.066833	0.010	-1.242094
0.067000	0.010	-1.219999
0.067167	0.010	-1.230783
0.067333	0.010	-1.230684
0.067500	0.010	-1.238208
0.067667	0.010	-1.224990
0.067833	0.010	-1.243495
0.068000	0.010	-1.264316
0.068167	0.010	-1.252863
0.068333	0.010	-1.240819
0.068500	0.010	-1.198903
0.068667	0.010	-1.229454
0.068833	0.010	-1.233465
0.069000	0.010	-1.247794
0.069167	0.010	-1.257808
0.069333	0.010	-1.270146
0.069500	0.010	-1.236322
0.069667	0.010	-1.242474
0.069833	0.010	-1.237230
0.070000	0.010	-1.212867
0.070167	0.010	-1.245870
0.070333	0.010	-1.250715
0.070500	0.010	-1.256217
0.070667	0.010	-1.275517
0.070833	0.010	-1.276261
0.071000	0.010	-1.245158
0.071167	0.010	-1.256546
0.071333	0.010	-1.234813
0.071500	0.010	-1.226912
0.071667	0.010	-1.247532
