File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/876.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	1 mL Std
Injection Number	1
Position	1
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Calibration Standard
Status	Finished
Injection Date	11/1/2016
Injection Time	9:21:42 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.049907
Signal Max.	8.835216
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.100667	0.010	0.003501
0.100833	0.010	0.008249
0.101000	0.010	-0.027470
0.101167	0.010	-0.002848
0.101333	0.010	-0.020397
0.101500	0.010	0.021967
0.101667	0.010	-0.005335
0.101833	0.010	0.001068
0.102000	0.010	0.010578
0.102167	0.010	-0.020264
0.102333	0.010	-0.019144
0.102500	0.010	-0.017186
0.102667	0.010	-0.005152
0.102833	0.010	-0.023938
0.103000	0.010	-0.006482
0.103167	0.010	-0.012218
0.103333	0.010	-0.031954
0.103500	0.010	-0.011303
0.103667	0.010	0.027303
0.103833	0.010	0.021178
0.104000	0.010	-0.002737
0.104167	0.010	0.023317
0.104333	0.010	-0.008936
0.104500	0.010	0.008549
0.104667	0.010	0.008617
0.104833	0.010	-0.014300
0.105000	0.010	-0.010002
0.105167	0.010	-0.010941
0.105333	0.010	-0.012597
0.105500	0.010	0.011235
0.105667	0.010	-0.013875
0.105833	0.010	-0.027684
0.106000	0.010	-0.025086
0.106167	0.010	0.005985
0.106333	0.010	0.015791
0.106500	0.010	-0.006058
0.106667	0.010	0.016528
0.106833	0.010	0.024961
0.107000	0.010	-0.028404
0.107167	0.010	-0.011809
0.107333	0.010	-0.010925
0.107500	0.010	0.002024
0.107667	0.010	-0.000011
0.107833	0.010	0.023434
0.108000	0.010	0.036429
0.108167	0.010	-0.001322
0.108333	0.010	-0.000975
0.108500	0.010	0.007909
0.108667	0.010	-0.000617
0.108833	0.010	0.002227
0.109000	0.010	-0.006829
0.109167	0.010	-0.018830
0.109333	0.010	-0.030550
0.109500	0.010	-0.024505
0.109667	0.010	0.010337
0.109833	0.010	-0.004953
0.110000	0.010	-0.010752
0.110167	0.010	0.009094
0.110333	0.010	0.015046
0.110500	0.010	0.019907
0.110667	0.010	0.012973
0.110833	0.010	-0.007194
0.111000	0.010	-0.030438
0.111167	0.010	0.004328
0.111333	0.010	0.013955
0.111500	0.010	-0.033989
0.111667	0.010	-0.021633
0.111833	0.010	-0.023392
0.112000	0.010	-0.018721
0.112167	0.010	-0.000384
0.112333	0.010	-0.012821
0.112500	0.010	-0.014127
0.112667	0.010	-0.006540
0.112833	0.010	-0.009035
0.113000	0.010	-0.014130
0.113167	0.010	-0.021646
0.113333	0.010	-0.009408
0.113500	0.010	-0.007920
0.113667	0.010	-0.010704
0.113833	0.010	0.003502
0.114000	0.010	0.007803
0.114167	0.010	0.013195
0.114333	0.010	-0.002330
0.114500	0.010	0.003131
0.114667	0.010	0.014506
0.114833	0.010	0.018112
0.115000	0.010	0.005243
0.115167	0.010	0.012171
0.115333	0.010	0.003374
0.115500	0.010	0.010379
0.115667	0.010	0.042962
0.115833	0.010	0.043090
0.116000	0.010	0.016766
0.116167	0.010	0.013970
0.116333	0.010	0.034186
0.116500	0.010	0.005857
0.116667	0.010	0.014353
0.116833	0.010	-0.019604
0.117000	0.010	-0.014357
0.117167	0.010	-0.007531
0.117333	0.010	-0.036779
0.117500	0.010	-0.019682
0.117667	0.010	-0.007707
0.117833	0.010	-0.000052
0.118000	0.010	0.003052
0.118167	0.010	-0.002194
0.118333	0.010	-0.017439
0.118500	0.010	0.006902
0.118667	0.010	0.011021
0.118833	0.010	0.008220
0.119000	0.010	0.030796
0.119167	0.010	0.019088
0.119333	0.010	0.040378
0.119500	0.010	0.043035
0.119667	0.010	0.020129
0.119833	0.010	0.003713
0.120000	0.010	-0.007297
0.120167	0.010	-0.020236
0.120333	0.010	-0.040026
0.120500	0.010	-0.019222
0.120667	0.010	0.004211
0.120833	0.010	-0.011091
0.121000	0.010	0.021735
0.121167	0.010	-0.004188
0.121333	0.010	0.002992
0.121500	0.010	0.017385
0.121667	0.010	0.038078
0.121833	0.010	0.018241
0.122000	0.010	-0.010875
0.122167	0.010	-0.011097
0.122333	0.010	0.013802
0.122500	0.010	0.012726
0.122667	0.010	0.016447
0.122833	0.010	-0.010719
0.123000	0.010	0.005145
0.123167	0.010	-0.004626
0.123333	0.010	0.016526
0.123500	0.010	0.007939
0.123667	0.010	-0.011075
0.123833	0.010	-0.010293
0.124000	0.010	-0.021850
0.124167	0.010	-0.006688
0.124333	0.010	0.001282
0.124500	0.010	0.005370
0.124667	0.010	-0.019810
0.124833	0.010	-0.002104
0.125000	0.010	0.010760
0.125167	0.010	-0.017289
0.125333	0.010	-0.017895
0.125500	0.010	-0.023817
0.125667	0.010	-0.007900
0.125833	0.010	-0.004725
0.126000	0.010	-0.007178
0.126167	0.010	0.009224
0.126333	0.010	0.017643
0.126500	0.010	0.027941
0.126667	0.010	0.045338
0.126833	0.010	0.012486
0.127000	0.010	-0.001569
0.127167	0.010	0.054351
0.127333	0.010	0.018319
0.127500	0.010	0.043026
0.127667	0.010	0.007427
0.127833	0.010	-0.002565
0.128000	0.010	-0.000357
0.128167	0.010	0.007508
0.128333	0.010	0.003976
0.128500	0.010	-0.006871
0.128667	0.010	-0.006595
0.128833	0.010	-0.018461
0.129000	0.010	0.027623
0.129167	0.010	0.011114
0.129333	0.010	0.030184
0.129500	0.010	0.036778
0.129667	0.010	0.005335
0.129833	0.010	0.009135
0.130000	0.010	0.021660
0.130167	0.010	0.037307
0.130333	0.010	0.022095
