File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/652.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Spike-run1
Injection Number	7
Position	8
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Spiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:23:16 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.471875
Signal Max.	92.659279
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.042833	0.010	-0.682089
0.043000	0.010	-0.645311
0.043167	0.010	-0.707493
0.043333	0.010	-0.692440
0.043500	0.010	-0.689929
0.043667	0.010	-0.686324
0.043833	0.010	-0.668598
0.044000	0.010	-0.682933
0.044167	0.010	-0.671486
0.044333	0.010	-0.668917
0.044500	0.010	-0.692757
0.044667	0.010	-0.678901
0.044833	0.010	-0.657534
0.045000	0.010	-0.625065
0.045167	0.010	-0.665935
0.045333	0.010	-0.676783
0.045500	0.010	-0.641596
0.045667	0.010	-0.655780
0.045833	0.010	-0.679099
0.046000	0.010	-0.686090
0.046167	0.010	-0.714752
0.046333	0.010	-0.690975
0.046500	0.010	-0.704045
0.046667	0.010	-0.665133
0.046833	0.010	-0.689043
0.047000	0.010	-0.698400
0.047167	0.010	-0.675217
0.047333	0.010	-0.678749
0.047500	0.010	-0.699471
0.047667	0.010	-0.680265
0.047833	0.010	-0.676060
0.048000	0.010	-0.648791
0.048167	0.010	-0.653027
0.048333	0.010	-0.650505
0.048500	0.010	-0.634100
0.048667	0.010	-0.675888
0.048833	0.010	-0.684474
0.049000	0.010	-0.687391
0.049167	0.010	-0.663849
0.049333	0.010	-0.669850
0.049500	0.010	-0.705919
0.049667	0.010	-0.694197
0.049833	0.010	-0.688882
0.050000	0.010	-0.687643
0.050167	0.010	-0.689693
0.050333	0.010	-0.695649
0.050500	0.010	-0.681009
0.050667	0.010	-0.671097
0.050833	0.010	-0.700213
0.051000	0.010	-0.672970
0.051167	0.010	-0.688234
0.051333	0.010	-0.675455
0.051500	0.010	-0.673933
0.051667	0.010	-0.706732
0.051833	0.010	-0.706604
0.052000	0.010	-0.704589
0.052167	0.010	-0.707744
0.052333	0.010	-0.700907
0.052500	0.010	-0.707031
0.052667	0.010	-0.676600
0.052833	0.010	-0.687077
0.053000	0.010	-0.663932
0.053167	0.010	-0.692071
0.053333	0.010	-0.686997
0.053500	0.010	-0.686084
0.053667	0.010	-0.670972
0.053833	0.010	-0.687995
0.054000	0.010	-0.669324
0.054167	0.010	-0.662134
0.054333	0.010	-0.688959
0.054500	0.010	-0.692853
0.054667	0.010	-0.671435
0.054833	0.010	-0.668858
0.055000	0.010	-0.693213
0.055167	0.010	-0.710601
0.055333	0.010	-0.708101
0.055500	0.010	-0.717404
0.055667	0.010	-0.696085
0.055833	0.010	-0.714474
0.056000	0.010	-0.695920
0.056167	0.010	-0.703458
0.056333	0.010	-0.684402
0.056500	0.010	-0.672792
0.056667	0.010	-0.682020
0.056833	0.010	-0.677857
0.057000	0.010	-0.671539
0.057167	0.010	-0.690164
0.057333	0.010	-0.714747
0.057500	0.010	-0.687608
0.057667	0.010	-0.702323
0.057833	0.010	-0.703800
0.058000	0.010	-0.692095
0.058167	0.010	-0.717842
0.058333	0.010	-0.717164
0.058500	0.010	-0.720270
0.058667	0.010	-0.724209
0.058833	0.010	-0.717343
0.059000	0.010	-0.697203
0.059167	0.010	-0.700577
0.059333	0.010	-0.689880
0.059500	0.010	-0.695547
0.059667	0.010	-0.693905
0.059833	0.010	-0.686093
0.060000	0.010	-0.679370
0.060167	0.010	-0.682291
0.060333	0.010	-0.705670
0.060500	0.010	-0.689836
0.060667	0.010	-0.701702
0.060833	0.010	-0.691293
0.061000	0.010	-0.691725
0.061167	0.010	-0.704076
0.061333	0.010	-0.712179
0.061500	0.010	-0.687452
0.061667	0.010	-0.682549
0.061833	0.010	-0.688812
0.062000	0.010	-0.707025
0.062167	0.010	-0.681663
0.062333	0.010	-0.666426
0.062500	0.010	-0.710938
0.062667	0.010	-0.685769
0.062833	0.010	-0.682741
0.063000	0.010	-0.686344
0.063167	0.010	-0.688057
0.063333	0.010	-0.673347
0.063500	0.010	-0.683259
0.063667	0.010	-0.695552
0.063833	0.010	-0.698085
0.064000	0.010	-0.688834
0.064167	0.010	-0.725039
0.064333	0.010	-0.733971
0.064500	0.010	-0.697443
0.064667	0.010	-0.697280
0.064833	0.010	-0.715030
0.065000	0.010	-0.708918
0.065167	0.010	-0.692765
0.065333	0.010	-0.705452
0.065500	0.010	-0.723610
0.065667	0.010	-0.718080
0.065833	0.010	-0.706175
0.066000	0.010	-0.699374
0.066167	0.010	-0.699006
0.066333	0.010	-0.673113
0.066500	0.010	-0.702900
0.066667	0.010	-0.691667
0.066833	0.010	-0.688743
0.067000	0.010	-0.685661
0.067167	0.010	-0.680143
0.067333	0.010	-0.719451
0.067500	0.010	-0.724000
0.067667	0.010	-0.720801
0.067833	0.010	-0.721001
0.068000	0.010	-0.685890
0.068167	0.010	-0.706605
0.068333	0.010	-0.701335
0.068500	0.010	-0.718420
0.068667	0.010	-0.719337
0.068833	0.010	-0.739997
0.069000	0.010	-0.703684
0.069167	0.010	-0.701582
0.069333	0.010	-0.711872
0.069500	0.010	-0.695419
0.069667	0.010	-0.702058
0.069833	0.010	-0.714482
0.070000	0.010	-0.711304
0.070167	0.010	-0.705892
0.070333	0.010	-0.702358
0.070500	0.010	-0.720676
0.070667	0.010	-0.709560
0.070833	0.010	-0.731607
0.071000	0.010	-0.753241
0.071167	0.010	-0.754400
0.071333	0.010	-0.732238
0.071500	0.010	-0.721719
0.071667	0.010	-0.718886
0.071833	0.010	-0.693328
0.072000	0.010	-0.691943
0.072167	0.010	-0.710344
0.072333	0.010	-0.688949
0.072500	0.010	-0.703757
0.072667	0.010	-0.720581
0.072833	0.010	-0.693839
0.073000	0.010	-0.701000
0.073167	0.010	-0.690768
0.073333	0.010	-0.725066
0.073500	0.010	-0.728807
0.073667	0.010	-0.696900
0.073833	0.010	-0.705400
0.074000	0.010	-0.724586
0.074167	0.010	-0.712552
0.074333	0.010	-0.697006
0.074500	0.010	-0.720975
0.074667	0.010	-0.726992
0.074833	0.010	-0.734192
0.075000	0.010	-0.736248
0.075167	0.010	-0.682274
0.075333	0.010	-0.708694
0.075500	0.010	-0.710747
0.075667	0.010	-0.731087
0.075833	0.010	-0.733420
0.076000	0.010	-0.715393
0.076167	0.010	-0.703936
0.076333	0.010	-0.687088
0.076500	0.010	-0.691929
0.076667	0.010	-0.715367
0.076833	0.010	-0.699857
0.077000	0.010	-0.737520
0.077167	0.010	-0.716361
0.077333	0.010	-0.724100
0.077500	0.010	-0.709789
0.077667	0.010	-0.723092
0.077833	0.010	-0.702956
0.078000	0.010	-0.695387
0.078167	0.010	-0.700565
0.078333	0.010	-0.698342
0.078500	0.010	-0.720705
0.078667	0.010	-0.711679
0.078833	0.010	-0.707792
0.079000	0.010	-0.705032
