Nov. 15, 2016   10:23:11
Cyclic Voltammetry
File: c:\users\public\desktop\studentdata\fall 2016\alena\group b\cv_cn_0,075.txt
Data Source:  Experiment
Instrument Model:  CHI630E
Header: Sample CN Conc : 5e-3M 
Note: 

Init E (V) = 0.5
High E (V) = 0.5
Low E (V) = 0
Init P/N = N
Scan Rate (V/s) = 0.075
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.220V
ip = 2.395e-5A
Ah = 2.075e-5C

Segment 2:
Ep = 0.286V
ip = -2.250e-5A
Ah = -1.897e-5C

Potential/V	Current/A
0.166	1.938e-5
0.165	1.927e-5
0.164	1.917e-5
0.163	1.906e-5
0.162	1.896e-5
0.161	1.885e-5
0.160	1.875e-5
0.159	1.865e-5
0.158	1.855e-5
0.157	1.845e-5
0.156	1.836e-5
0.155	1.826e-5
0.154	1.817e-5
0.153	1.807e-5
0.152	1.798e-5
0.151	1.789e-5
0.150	1.779e-5
0.149	1.771e-5
0.148	1.762e-5
0.147	1.753e-5
0.146	1.745e-5
0.145	1.736e-5
0.144	1.728e-5
0.143	1.720e-5
0.142	1.712e-5
0.141	1.704e-5
0.140	1.696e-5
0.139	1.688e-5
0.138	1.681e-5
0.137	1.673e-5
0.136	1.666e-5
0.135	1.659e-5
0.134	1.651e-5
0.133	1.644e-5
0.132	1.637e-5
0.131	1.630e-5
0.130	1.623e-5
0.129	1.617e-5
0.128	1.610e-5
0.127	1.604e-5
0.126	1.597e-5
0.125	1.591e-5
0.124	1.585e-5
0.123	1.578e-5
0.122	1.572e-5
0.121	1.566e-5
0.120	1.560e-5
0.119	1.555e-5
0.118	1.549e-5
0.117	1.543e-5
0.116	1.538e-5
0.115	1.532e-5
0.114	1.527e-5
0.113	1.522e-5
0.112	1.516e-5
0.111	1.511e-5
0.110	1.506e-5
0.109	1.501e-5
0.108	1.496e-5
0.107	1.491e-5
0.106	1.486e-5
0.105	1.482e-5
0.104	1.477e-5
0.103	1.472e-5
0.102	1.468e-5
0.101	1.463e-5
0.100	1.459e-5
0.099	1.455e-5
0.098	1.450e-5
0.097	1.446e-5
0.096	1.442e-5
0.095	1.438e-5
0.094	1.434e-5
0.093	1.430e-5
0.092	1.426e-5
0.091	1.422e-5
0.090	1.418e-5
0.089	1.414e-5
0.088	1.410e-5
0.087	1.407e-5
0.086	1.403e-5
0.085	1.400e-5
0.084	1.396e-5
0.083	1.392e-5
0.082	1.389e-5
0.081	1.386e-5
0.080	1.382e-5
0.079	1.380e-5
0.078	1.376e-5
0.077	1.373e-5
0.076	1.370e-5
0.075	1.367e-5
0.074	1.364e-5
0.073	1.361e-5
0.072	1.358e-5
0.071	1.355e-5
0.070	1.352e-5
0.069	1.349e-5
0.068	1.346e-5
0.067	1.344e-5
0.066	1.341e-5
0.065	1.338e-5
0.064	1.335e-5
0.063	1.333e-5
0.062	1.330e-5
0.061	1.328e-5
0.060	1.325e-5
0.059	1.323e-5
0.058	1.320e-5
0.057	1.318e-5
0.056	1.316e-5
0.055	1.313e-5
0.054	1.311e-5
0.053	1.309e-5
0.052	1.307e-5
0.051	1.304e-5
0.050	1.302e-5
0.049	1.300e-5
0.048	1.298e-5
0.047	1.296e-5
0.046	1.294e-5
0.045	1.292e-5
0.044	1.290e-5
0.043	1.288e-5
0.042	1.286e-5
0.041	1.284e-5
0.040	1.283e-5
0.039	1.281e-5
0.038	1.279e-5
0.037	1.277e-5
0.036	1.276e-5
0.035	1.274e-5
0.034	1.272e-5
0.033	1.270e-5
0.032	1.269e-5
0.031	1.267e-5
0.030	1.266e-5
0.029	1.264e-5
0.028	1.263e-5
0.027	1.261e-5
0.026	1.260e-5
0.025	1.258e-5
0.024	1.257e-5
0.023	1.255e-5
0.022	1.254e-5
0.021	1.253e-5
0.020	1.252e-5
0.019	1.250e-5
0.018	1.249e-5
0.017	1.248e-5
0.016	1.246e-5
0.015	1.245e-5
0.014	1.244e-5
0.013	1.243e-5
0.012	1.242e-5
0.011	1.241e-5
0.010	1.240e-5
0.009	1.239e-5
0.008	1.238e-5
0.007	1.237e-5
0.006	1.236e-5
0.005	1.235e-5
0.004	1.234e-5
0.003	1.233e-5
0.002	1.232e-5
0.001	1.231e-5
0.000	1.215e-5
0.001	1.188e-5
0.002	1.177e-5
0.003	1.170e-5
0.004	1.164e-5
0.005	1.159e-5
0.006	1.153e-5
0.007	1.148e-5
0.008	1.144e-5
0.009	1.139e-5
0.010	1.135e-5
0.011	1.131e-5
0.012	1.126e-5
0.013	1.122e-5
0.014	1.119e-5
0.015	1.115e-5
0.016	1.111e-5
0.017	1.107e-5
0.018	1.103e-5
0.019	1.100e-5
0.020	1.096e-5
0.021	1.093e-5
0.022	1.090e-5
0.023	1.086e-5
0.024	1.083e-5
0.025	1.080e-5
0.026	1.077e-5
0.027	1.073e-5
0.028	1.070e-5
0.029	1.067e-5
0.030	1.064e-5
0.031	1.061e-5
0.032	1.058e-5
0.033	1.055e-5
0.034	1.052e-5
0.035	1.050e-5
0.036	1.047e-5
0.037	1.044e-5
0.038	1.041e-5
0.039	1.038e-5
0.040	1.036e-5
0.041	1.033e-5
0.042	1.030e-5
0.043	1.027e-5
0.044	1.025e-5
0.045	1.022e-5
0.046	1.019e-5
0.047	1.017e-5
0.048	1.014e-5
0.049	1.012e-5
0.050	1.009e-5
0.051	1.007e-5
0.052	1.004e-5
0.053	1.002e-5
0.054	9.990e-6
0.055	9.966e-6
0.056	9.943e-6
0.057	9.917e-6
0.058	9.893e-6
0.059	9.870e-6
0.060	9.845e-6
0.061	9.822e-6
0.062	9.798e-6
0.063	9.773e-6
0.064	9.751e-6
0.065	9.727e-6
0.066	9.704e-6
0.067	9.681e-6
0.068	9.657e-6
0.069	9.635e-6
0.070	9.613e-6
0.071	9.590e-6
0.072	9.568e-6
0.073	9.544e-6
0.074	9.521e-6
0.075	9.500e-6
0.076	9.476e-6
0.077	9.453e-6
0.078	9.430e-6
0.079	9.407e-6
0.080	9.386e-6
0.081	9.365e-6
0.082	9.341e-6
0.083	9.319e-6
0.084	9.295e-6
0.085	9.275e-6
0.086	9.254e-6
0.087	9.231e-6
0.088	9.208e-6
0.089	9.185e-6
0.090	9.164e-6
0.091	9.143e-6
0.092	9.118e-6
0.093	9.097e-6
0.094	9.075e-6
0.095	9.052e-6
0.096	9.033e-6
0.097	9.008e-6
0.098	8.985e-6
0.099	8.962e-6
0.100	8.940e-6
0.101	8.918e-6
0.102	8.893e-6
0.103	8.868e-6
0.104	8.848e-6
0.105	8.823e-6
0.106	8.801e-6
0.107	8.777e-6
0.108	8.749e-6
0.109	8.728e-6
0.110	8.702e-6
0.111	8.677e-6
0.112	8.653e-6
0.113	8.625e-6
0.114	8.601e-6
0.115	8.577e-6
0.116	8.550e-6
0.117	8.524e-6
0.118	8.497e-6
0.119	8.469e-6
0.120	8.444e-6
0.121	8.416e-6
0.122	8.387e-6
0.123	8.360e-6
0.124	8.329e-6
0.125	8.301e-6
0.126	8.272e-6
0.127	8.241e-6
0.128	8.210e-6
0.129	8.178e-6
0.130	8.148e-6
0.131	8.116e-6
0.132	8.082e-6
0.133	8.049e-6
0.134	8.013e-6
0.135	7.979e-6
0.136	7.945e-6
0.137	7.906e-6
0.138	7.868e-6
0.139	7.831e-6
0.140	7.791e-6
0.141	7.755e-6
0.142	7.711e-6
0.143	7.669e-6
0.144	7.628e-6
0.145	7.584e-6
0.146	7.541e-6
0.147	7.496e-6
0.148	7.448e-6
0.149	7.403e-6
0.150	7.352e-6
0.151	7.303e-6
0.152	7.249e-6
0.153	7.196e-6
0.154	7.142e-6
0.155	7.085e-6
0.156	7.027e-6
0.157	6.968e-6
0.158	6.906e-6
0.159	6.842e-6
0.160	6.783e-6
0.161	6.715e-6
0.162	6.648e-6
0.163	6.575e-6
0.164	6.505e-6
0.165	6.432e-6
0.166	6.355e-6
0.167	6.275e-6
0.168	6.196e-6
0.169	6.111e-6
0.170	6.029e-6
0.171	5.942e-6
0.172	5.849e-6
0.173	5.756e-6
0.174	5.659e-6
0.175	5.561e-6
0.176	5.461e-6
0.177	5.352e-6
0.178	5.248e-6
0.179	5.137e-6
0.180	5.022e-6
0.181	4.908e-6
0.182	4.784e-6
0.183	4.658e-6
0.184	4.534e-6
0.185	4.400e-6
0.186	4.269e-6
0.187	4.129e-6
0.188	3.983e-6
0.189	3.840e-6
0.190	3.688e-6
0.191	3.532e-6
0.192	3.373e-6
0.193	3.207e-6
0.194	3.042e-6
0.195	2.870e-6
0.196	2.692e-6
0.197	2.514e-6
0.198	2.325e-6
0.199	2.134e-6
0.200	1.943e-6
0.201	1.738e-6
0.202	1.531e-6
0.203	1.324e-6
0.204	1.109e-6
0.205	8.822e-7
0.206	6.574e-7
0.207	4.267e-7
0.208	1.986e-7
0.209	-4.283e-8
0.210	-2.844e-7
0.211	-5.318e-7
0.212	-7.925e-7
0.213	-1.045e-6
0.214	-1.310e-6
0.215	-1.580e-6
0.216	-1.846e-6
0.217	-2.130e-6
0.218	-2.410e-6
0.219	-2.695e-6
0.220	-2.990e-6
0.221	-3.275e-6
0.222	-3.576e-6
0.223	-3.877e-6
0.224	-4.177e-6
0.225	-4.502e-6
0.226	-4.807e-6
0.227	-5.117e-6
0.228	-5.424e-6
0.229	-5.729e-6
0.230	-6.053e-6
0.231	-6.388e-6
0.232	-6.702e-6
0.233	-7.044e-6
0.234	-7.360e-6
0.235	-7.682e-6
0.236	-8.013e-6
0.237	-8.330e-6
0.238	-8.649e-6
0.239	-8.972e-6
0.240	-9.295e-6
0.241	-9.624e-6
0.242	-9.922e-6
0.243	-1.025e-5
0.244	-1.057e-5
0.245	-1.087e-5
0.246	-1.118e-5
0.247	-1.149e-5
0.248	-1.177e-5
0.249	-1.207e-5
0.250	-1.235e-5
0.251	-1.264e-5
0.252	-1.293e-5
0.253	-1.319e-5
0.254	-1.346e-5
0.255	-1.372e-5
0.256	-1.398e-5
0.257	-1.424e-5
0.258	-1.447e-5
0.259	-1.470e-5
0.260	-1.493e-5
0.261	-1.514e-5
0.262	-1.535e-5
0.263	-1.555e-5
0.264	-1.574e-5
0.265	-1.593e-5
0.266	-1.610e-5
0.267	-1.627e-5
0.268	-1.643e-5
0.269	-1.657e-5
0.270	-1.672e-5
0.271	-1.684e-5
0.272	-1.696e-5
0.273	-1.708e-5
0.274	-1.717e-5
0.275	-1.725e-5
0.276	-1.735e-5
0.277	-1.742e-5
0.278	-1.750e-5
0.279	-1.755e-5
0.280	-1.760e-5
0.281	-1.766e-5
0.282	-1.769e-5
0.283	-1.771e-5
0.284	-1.773e-5
0.285	-1.773e-5
0.286	-1.773e-5
0.287	-1.773e-5
0.288	-1.771e-5
0.289	-1.769e-5
0.290	-1.767e-5
0.291	-1.764e-5
0.292	-1.760e-5
0.293	-1.755e-5
0.294	-1.750e-5
0.295	-1.745e-5
0.296	-1.738e-5
0.297	-1.733e-5
0.298	-1.725e-5
0.299	-1.717e-5
0.300	-1.710e-5
0.301	-1.701e-5
