Potential/V	Current/A
0.471	-1.365e-5
0.472	-1.354e-5
0.473	-1.345e-5
0.474	-1.334e-5
0.475	-1.324e-5
0.476	-1.314e-5
0.477	-1.302e-5
0.478	-1.293e-5
0.479	-1.281e-5
0.480	-1.271e-5
0.481	-1.261e-5
0.482	-1.249e-5
0.483	-1.239e-5
0.484	-1.229e-5
0.485	-1.217e-5
0.486	-1.208e-5
0.487	-1.197e-5
0.488	-1.188e-5
0.489	-1.178e-5
0.490	-1.168e-5
0.491	-1.158e-5
0.492	-1.149e-5
0.493	-1.139e-5
0.494	-1.130e-5
0.495	-1.121e-5
0.496	-1.112e-5
0.497	-1.103e-5
0.498	-1.095e-5
0.499	-1.086e-5
0.500	-1.079e-5
0.501	-1.071e-5
0.502	-1.063e-5
0.503	-1.056e-5
0.504	-1.048e-5
0.505	-1.042e-5
0.506	-1.034e-5
0.507	-1.026e-5
0.508	-1.021e-5
0.509	-1.013e-5
0.510	-1.007e-5
0.511	-1.001e-5
0.512	-9.953e-6
0.513	-9.902e-6
0.514	-9.836e-6
0.515	-9.780e-6
0.516	-9.734e-6
0.517	-9.673e-6
0.518	-9.626e-6
0.519	-9.573e-6
0.520	-9.524e-6
0.521	-9.480e-6
0.522	-9.425e-6
0.523	-9.383e-6
0.524	-9.340e-6
0.525	-9.293e-6
0.526	-9.260e-6
0.527	-9.209e-6
0.528	-9.174e-6
0.529	-9.137e-6
0.530	-9.092e-6
0.531	-9.058e-6
0.532	-9.020e-6
0.533	-8.989e-6
0.534	-8.952e-6
0.535	-8.918e-6
0.536	-8.883e-6
0.537	-8.855e-6
0.538	-8.825e-6
0.539	-8.792e-6
0.540	-8.765e-6
0.541	-8.732e-6
0.542	-8.706e-6
0.543	-8.683e-6
0.544	-8.651e-6
0.545	-8.628e-6
0.546	-8.603e-6
0.547	-8.571e-6
0.548	-8.555e-6
0.549	-8.521e-6
0.550	-8.501e-6
0.551	-8.481e-6
0.552	-8.447e-6
0.553	-8.432e-6
0.554	-8.403e-6
0.555	-8.379e-6
0.556	-8.363e-6
0.557	-8.329e-6
0.558	-8.315e-6
0.559	-8.294e-6
0.560	-8.267e-6
0.561	-8.253e-6
0.562	-8.224e-6
0.563	-8.211e-6
0.564	-8.191e-6
0.565	-8.165e-6
0.566	-8.149e-6
0.567	-8.120e-6
0.568	-8.103e-6
0.569	-8.086e-6
0.570	-8.059e-6
0.571	-8.043e-6
0.572	-8.025e-6
0.573	-8.001e-6
0.574	-7.983e-6
0.575	-7.967e-6
0.576	-7.945e-6
0.577	-7.925e-6
0.578	-7.907e-6
0.579	-7.885e-6
0.580	-7.870e-6
0.581	-7.848e-6
0.582	-7.829e-6
0.583	-7.818e-6
0.584	-7.793e-6
0.585	-7.778e-6
0.586	-7.761e-6
0.587	-7.737e-6
0.588	-7.729e-6
0.589	-7.706e-6
0.590	-7.692e-6
0.591	-7.679e-6
0.592	-7.654e-6
0.593	-7.649e-6
0.594	-7.627e-6
0.595	-7.609e-6
0.596	-7.598e-6
0.597	-7.572e-6
0.598	-7.561e-6
0.599	-7.544e-6
0.600	-7.524e-6
0.601	-7.513e-6
0.602	-7.493e-6
0.603	-7.482e-6
0.604	-7.466e-6
0.605	-7.446e-6
0.606	-7.438e-6
0.607	-7.422e-6
0.608	-7.409e-6
0.609	-7.396e-6
0.610	-7.383e-6
0.611	-7.371e-6
0.612	-7.357e-6
0.613	-7.347e-6
0.614	-7.340e-6
0.615	-7.335e-6
0.616	-7.318e-6
0.617	-7.304e-6
0.618	-7.297e-6
0.619	-7.281e-6
0.620	-7.277e-6
0.621	-7.263e-6
0.622	-7.249e-6
0.623	-7.247e-6
0.624	-7.233e-6
0.625	-7.226e-6
0.626	-7.215e-6
0.627	-7.202e-6
