Nov. 15, 2016   11:04:45
Cyclic Voltammetry
File: c:\users\public\desktop\studentdata\fall 2016\alena\group b\samplec_0,1.txt
Data Source:  Experiment
Instrument Model:  CHI630E
Header: Sample C
Note: 

Init E (V) = 0
High E (V) = 1.2
Low E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Segment 1:
Ep = 0.446V
ip = -2.135e-6A
Ah = -7.987e-7C

Ep = 1.036V
ip = -1.218e-5A
Ah = -6.428e-6C

Segment 2:
Ep = 0.422V
ip = 3.483e-6A
Ah = 2.242e-6C

Potential/V	Current/A
0.379	-5.947e-6
0.380	-5.965e-6
0.381	-5.982e-6
0.382	-5.997e-6
0.383	-6.023e-6
0.384	-6.043e-6
0.385	-6.063e-6
0.386	-6.086e-6
0.387	-6.106e-6
0.388	-6.134e-6
0.389	-6.151e-6
0.390	-6.175e-6
0.391	-6.206e-6
0.392	-6.228e-6
0.393	-6.260e-6
0.394	-6.285e-6
0.395	-6.315e-6
0.396	-6.345e-6
0.397	-6.371e-6
0.398	-6.410e-6
0.399	-6.445e-6
0.400	-6.475e-6
0.401	-6.512e-6
0.402	-6.544e-6
0.403	-6.583e-6
0.404	-6.624e-6
0.405	-6.649e-6
0.406	-6.697e-6
0.407	-6.739e-6
0.408	-6.771e-6
0.409	-6.823e-6
0.410	-6.879e-6
0.411	-6.923e-6
0.412	-6.960e-6
0.413	-6.994e-6
0.414	-7.044e-6
0.415	-7.081e-6
0.416	-7.125e-6
0.417	-7.179e-6
0.418	-7.220e-6
0.419	-7.269e-6
0.420	-7.308e-6
0.421	-7.354e-6
0.422	-7.402e-6
0.423	-7.450e-6
0.424	-7.495e-6
0.425	-7.544e-6
0.426	-7.594e-6
0.427	-7.637e-6
0.428	-7.682e-6
0.429	-7.712e-6
0.430	-7.755e-6
0.431	-7.799e-6
0.432	-7.829e-6
0.433	-7.869e-6
0.434	-7.900e-6
0.435	-7.931e-6
0.436	-7.975e-6
0.437	-7.991e-6
0.438	-8.021e-6
0.439	-8.043e-6
0.440	-8.057e-6
0.441	-8.088e-6
0.442	-8.093e-6
0.443	-8.108e-6
0.444	-8.125e-6
0.445	-8.122e-6
0.446	-8.134e-6
0.447	-8.133e-6
0.448	-8.127e-6
0.449	-8.129e-6
0.450	-8.118e-6
0.451	-8.115e-6
0.452	-8.104e-6
0.453	-8.078e-6
0.454	-8.064e-6
0.455	-8.040e-6
0.456	-8.020e-6
0.457	-7.990e-6
0.458	-7.963e-6
0.459	-7.930e-6
0.460	-7.899e-6
0.461	-7.871e-6
0.462	-7.835e-6
0.463	-7.798e-6
0.464	-7.755e-6
0.465	-7.712e-6
0.466	-7.673e-6
0.467	-7.624e-6
0.468	-7.582e-6
0.469	-7.530e-6
0.470	-7.477e-6
0.471	-7.436e-6
0.472	-7.379e-6
0.473	-7.340e-6
0.474	-7.298e-6
0.475	-7.246e-6
0.476	-7.208e-6
0.477	-7.154e-6
0.478	-7.110e-6
0.479	-7.066e-6
0.480	-7.015e-6
0.481	-6.979e-6
0.482	-6.932e-6
0.483	-6.887e-6
0.484	-6.853e-6
0.485	-6.798e-6
0.486	-6.766e-6
0.487	-6.725e-6
0.488	-6.683e-6
0.489	-6.653e-6
0.490	-6.610e-6
0.491	-6.579e-6
0.492	-6.540e-6
0.493	-6.497e-6
0.494	-6.474e-6
0.495	-6.435e-6
0.496	-6.404e-6
0.497	-6.374e-6
0.498	-6.340e-6
0.499	-6.313e-6
0.500	-6.284e-6
0.501	-6.255e-6
0.502	-6.228e-6
0.503	-6.202e-6
0.504	-6.172e-6
0.505	-6.150e-6
0.506	-6.124e-6
0.507	-6.099e-6
0.508	-6.081e-6
0.509	-6.057e-6
0.510	-6.031e-6
0.511	-6.017e-6
0.512	-5.994e-6
0.513	-5.979e-6
0.514	-5.958e-6
0.515	-5.936e-6
0.516	-5.925e-6
0.517	-5.901e-6
0.518	-5.885e-6
0.519	-5.866e-6
0.520	-5.845e-6
0.521	-5.840e-6
0.522	-5.820e-6
0.523	-5.809e-6
0.524	-5.801e-6
0.525	-5.776e-6
0.526	-5.773e-6
0.527	-5.759e-6
0.528	-5.740e-6
0.529	-5.737e-6
0.530	-5.719e-6
0.531	-5.711e-6
0.532	-5.705e-6
0.533	-5.688e-6
0.534	-5.685e-6
0.535	-5.672e-6
0.536	-5.663e-6
0.537	-5.660e-6
0.538	-5.648e-6
0.539	-5.644e-6
0.540	-5.633e-6
0.541	-5.625e-6
0.542	-5.621e-6
0.543	-5.615e-6
0.544	-5.605e-6
0.545	-5.600e-6
0.546	-5.598e-6
0.547	-5.590e-6
0.548	-5.586e-6
0.549	-5.577e-6
0.550	-5.572e-6
0.551	-5.574e-6
0.552	-5.564e-6
0.553	-5.560e-6
0.554	-5.558e-6
0.555	-5.548e-6
0.556	-5.552e-6
0.557	-5.540e-6
0.558	-5.538e-6
0.559	-5.540e-6
0.560	-5.525e-6
0.561	-5.533e-6
0.562	-5.523e-6
0.563	-5.523e-6
0.564	-5.525e-6
0.565	-5.516e-6
0.566	-5.516e-6
0.567	-5.514e-6
0.568	-5.507e-6
0.569	-5.507e-6
0.570	-5.498e-6
0.571	-5.498e-6
0.572	-5.502e-6
0.573	-5.493e-6
0.574	-5.494e-6
0.575	-5.487e-6
0.576	-5.487e-6
0.577	-5.488e-6
0.578	-5.481e-6
0.579	-5.482e-6
0.580	-5.481e-6
0.581	-5.476e-6
0.582	-5.475e-6
0.583	-5.475e-6
0.584	-5.470e-6
0.585	-5.470e-6
0.586	-5.471e-6
0.587	-5.467e-6
0.588	-5.467e-6
0.589	-5.465e-6
0.590	-5.464e-6
0.591	-5.467e-6
0.592	-5.460e-6
0.593	-5.463e-6
0.594	-5.461e-6
