country_name,respid,gender,age,education,corganizedae
liberia,2014171,M,43,0,1
liberia,2014122,F,60,0,1
liberia,2014103,M,31,8,1
liberia,2014102,F,27,3,1
liberia,2014121,M,36,6,1
liberia,2015204,F,31,5,1
liberia,2015207,F,37,7,1
liberia,2015143,M,72,8,97
liberia,2015175,F,24,6,1
liberia,2015145,M,24,6,1
liberia,2015205,M,35,6,1
liberia,2015178,F,25,0,1
liberia,2015141,M,23,7,1
liberia,2015144,F,28,5,1
liberia,2015171,M,26,5,1
liberia,2015202,F,48,7,1
liberia,2015201,M,64,6,1
liberia,2015177,F,50,6,1
liberia,2015142,M,52,5,1
liberia,2015206,F,32,5,97
liberia,2015172,M,47,7,1
liberia,2015173,F,22,0,97
liberia,2015174,M,20,3,1
liberia,2015176,F,41,3,1
liberia,2015203,F,66,2,97
liberia,2016185,F,40,5,1
liberia,2016101,F,25,5,1
liberia,2016125,M,28,6,1
liberia,2016105,F,51,1,1
liberia,2016183,M,21,6,1
liberia,2016127,M,59,6,0
liberia,2016123,F,32,0,1
liberia,2016126,F,26,7,97
liberia,2016182,F,25,5,1
liberia,2016181,M,28,6,1
liberia,2016124,F,39,7,97
liberia,2016184,M,42,0,1
liberia,2016103,F,39,0,1
liberia,2016122,M,25,7,1
liberia,2016186,M,60,7,1
liberia,2016102,M,36,7,1
liberia,2016106,M,29,3,1
liberia,2016187,M,18,3,1
liberia,2016104,M,27,7,1
liberia,2016121,F,35,7,1
liberia,2017171,M,45,6,1
liberia,2017203,M,18,5,1
liberia,2017103,F,30,6,1
liberia,2017183,F,27,7,1
liberia,2017104,M,29,7,1
liberia,2017201,F,26,4,97
liberia,2017175,M,27,8,97
liberia,2017176,F,40,1,97
liberia,2017204,M,77,0,1
liberia,2017182,F,35,5,1
liberia,2017184,F,28,7,1
liberia,2017102,F,38,6,1
liberia,2017,M,29,7,1
liberia,2017173,F,26,3,97
liberia,2017185,M,34,7,1
liberia,2017101,M,35,7,1
liberia,2017202,M,22,5,1
liberia,2017105,M,19,5,0
liberia,2017172,F,20,1,97
liberia,2017174,F,23,5,1
liberia,2017205,F,23,0,97
liberia,2018172,M,28,7,1
liberia,2018175,F,35,1,1
liberia,2018127,M,25,7,1
liberia,2018145,M,44,6,1
liberia,2018171,M,42,7,1
liberia,2018176,F,21,5,1
liberia,2018122,F,35,8,97
liberia,2018177,M,39,6,1
liberia,2018174,F,25,6,1
liberia,2018123,M,23,5,1
liberia,2018126,M,27,7,1
liberia,2018125,M,20,5,1
liberia,2018143,M,64,3,0
liberia,2018124,F,43,0,1
liberia,2018121,F,32,5,1
liberia,2018173,M,28,3,1
liberia,2018178,M,33,7,1
liberia,2018144,M,51,6,1
liberia,2019151,M,32,6,1
liberia,2019154,F,25,2,1
liberia,2019111,F,32,6,1
liberia,2019162,M,24,6,1
liberia,2019161,M,26,6,1
liberia,2019112,F,23,2,97
liberia,2019193,F,50,0,
liberia,2019164,F,28,2,1
liberia,2019132,M,54,3,1
liberia,2019131,F,28,6,1
liberia,2019192,F,24,4,1
liberia,2019163,F,43,3,1
liberia,2019152,F,39,0,1
liberia,2019153,F,30,0,1
liberia,2019113,F,19,3,1
liberia,2019133,M,38,6,1
liberia,2019191,F,27,0,1
liberia,2019134,M,64,0,1
liberia,2019194,F,24,6,1
liberia,2019114,F,30,3,1
liberia,2020131,F,58,2,1
liberia,2020152,M,40,6,1
liberia,2020191,M,43,6,1
liberia,2020113,F,27,0,1
liberia,2020112,F,33,2,1
liberia,2020134,F,37,6,1
liberia,2020192,M,33,0,1
liberia,2020213,M,55,7,1
liberia,2020461,M,52,7,1
liberia,2020212,M,32,6,1
liberia,2020211,M,42,5,1
liberia,2020133,F,39,2,1
liberia,2020193,M,38,6,1
liberia,2020194,F,50,6,1
liberia,2020154,M,33,3,1
liberia,2020161,M,18,5,1
liberia,2020111,M,34,6,97
liberia,2020132,F,28,0,1
liberia,2020114,F,30,2,1
liberia,2020151,M,52,2,1
liberia,2020153,M,44,3,1
liberia,2021162,M,27,7,1
liberia,2021213,M,40,6,1
liberia,2021164,F,26,5,1
liberia,2021212,F,34,2,1
liberia,2021152,F,39,6,1
liberia,2021194,F,32,6,1
liberia,2021165,M,32,3,1
liberia,2021211,F,34,5,1
liberia,2021195,F,24,5,1
liberia,2021134,F,35,2,1
liberia,2021193,F,49,0,1
liberia,2021192,M,43,6,1
liberia,202112,F,23,3,1
liberia,2021151,M,43,3,1
liberia,2021131,F,49,0,1
liberia,2021196,M,43,6,1
liberia,2021161,F,23,0,1
liberia,2021191,F,40,1,1
liberia,2021163,M,42,6,1
liberia,2021133,F,42,6,1
liberia,2022112,F,35,3,1
liberia,2022192,F,56,0,1
liberia,2022153,M,39,6,1
liberia,2022152,F,25,6,1
liberia,2022,M,31,5,1
liberia,2022111,M,19,5,97
liberia,2022113,F,20,5,1
liberia,2022193,F,41,0,1
liberia,2022211,M,40,3,1
liberia,2022162,F,29,7,1
liberia,2022114,F,37,2,1
liberia,2022151,F,35,2,1
liberia,2022132,M,48,6,1
liberia,2022134,M,35,7,1
liberia,2022161,M,26,7,1
liberia,2022131,M,42,3,1
liberia,2022133,M,44,6,1
liberia,2022194,M,35,0,1
liberia,2022212,F,23,3,1
liberia,2022163,F,30,5,1
liberia,2023111,F,45,1,1
liberia,2023133,F,40,2,1
liberia,2023214,F,54,6,1
